DestinationMacAddr,SourceMacAddr,SourceIPAddr,DestinationIPAddr,SourcePort,DestinationPort
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.201.124.9,192.168.43.33,443,61617
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.201.124.9,61617,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.164.80.106,192.168.43.33,443,62107
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.164.80.106,62107,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.164.80.106,62107,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,49156,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,55522,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,49156
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,55522
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,65360,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,65360
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,60251,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,60251
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
